"Ativo","Data","Patrim Liq| Em moeda orig| em milhares| consolid:sim*"
"RRRP3<XBSP>","1T2010","-"
"RRRP3<XBSP>","2T2010","-"
"RRRP3<XBSP>","3T2010","-"
"RRRP3<XBSP>","4T2010","-"
"RRRP3<XBSP>","1T2011","-"
"RRRP3<XBSP>","2T2011","-"
"RRRP3<XBSP>","3T2011","-"
"RRRP3<XBSP>","4T2011","-"
"RRRP3<XBSP>","1T2012","-"
"RRRP3<XBSP>","2T2012","-"
"RRRP3<XBSP>","3T2012","-"
"RRRP3<XBSP>","4T2012","-"
"RRRP3<XBSP>","1T2013","-"
"RRRP3<XBSP>","2T2013","-"
"RRRP3<XBSP>","3T2013","-"
"RRRP3<XBSP>","4T2013","-"
"RRRP3<XBSP>","1T2014","-"
"RRRP3<XBSP>","2T2014","-"
"RRRP3<XBSP>","3T2014","-"
"RRRP3<XBSP>","4T2014","-"
"RRRP3<XBSP>","1T2015","-"
"RRRP3<XBSP>","2T2015","-"
"RRRP3<XBSP>","3T2015","-"
"RRRP3<XBSP>","4T2015","-"
"RRRP3<XBSP>","1T2016","-"
"RRRP3<XBSP>","2T2016","-"
"RRRP3<XBSP>","3T2016","-"
"RRRP3<XBSP>","4T2016","-"
"RRRP3<XBSP>","1T2017","-"
"RRRP3<XBSP>","2T2017","-"
"RRRP3<XBSP>","3T2017","-"
"RRRP3<XBSP>","4T2017",232170
"RRRP3<XBSP>","1T2018","-"
"RRRP3<XBSP>","2T2018","-"
"RRRP3<XBSP>","3T2018","-"
"RRRP3<XBSP>","4T2018",255919
"RRRP3<XBSP>","1T2019","-"
"RRRP3<XBSP>","2T2019","-"
"RRRP3<XBSP>","3T2019","-"
"RRRP3<XBSP>","4T2019",236793
"RRRP3<XBSP>","1T2020",287997
"RRRP3<XBSP>","2T2020",222294
"RRRP3<XBSP>","3T2020",218364
"RRRP3<XBSP>","4T2020",1077100
"RRRP3<XBSP>","1T2021",1822515
"RRRP3<XBSP>","2T2021",1818438
"RRRP3<XBSP>","3T2021",1822364
"RRRP3<XBSP>","4T2021",4107890
"RRRP3<XBSP>","1T2022",3800973
"RRRP3<XBSP>","2T2022",3879970
"RRRP3<XBSP>","3T2022",4318783
"RRRP3<XBSP>","4T2022",4282439
"RRRP3<XBSP>","1T2023",4292691
"RRRP3<XBSP>","2T2023",5252816
"RRRP3<XBSP>","3T2023",5185408
"RRRP3<XBSP>","4T2023",5492437
"RRRP3<XBSP>","1T2024",5278920
"RRRP3<XBSP>","2T2024",4944065
"TTEN3<XBSP>","1T2010","-"
"TTEN3<XBSP>","2T2010","-"
"TTEN3<XBSP>","3T2010","-"
"TTEN3<XBSP>","4T2010","-"
"TTEN3<XBSP>","1T2011","-"
"TTEN3<XBSP>","2T2011","-"
"TTEN3<XBSP>","3T2011","-"
"TTEN3<XBSP>","4T2011","-"
"TTEN3<XBSP>","1T2012","-"
"TTEN3<XBSP>","2T2012","-"
"TTEN3<XBSP>","3T2012","-"
"TTEN3<XBSP>","4T2012","-"
"TTEN3<XBSP>","1T2013","-"
"TTEN3<XBSP>","2T2013","-"
"TTEN3<XBSP>","3T2013","-"
"TTEN3<XBSP>","4T2013","-"
"TTEN3<XBSP>","1T2014","-"
"TTEN3<XBSP>","2T2014","-"
"TTEN3<XBSP>","3T2014","-"
